,list,CLASS
0,BRCA1,breast
1,AKT2,breast
2,ERBB2,breast
3,RB1,breast
4,NF2,breast
5,IGF1R,breast
6,TUBB3,breast
7,CCND1,breast
8,FOXP3,breast
9,TFF3,breast
10,BIRC5,breast
11,FGFR1,breast
12,CA1,breast
13,SF1,breast
14,FGF3,breast
15,CDKN2A,breast
16,TIMP1,breast
17,PIK3CA,breast
18,SGK1,breast
19,TP53,breast
20,ESR1,breast
21,PTEN,breast
22,NTRK3,breast
23,BRCA2,breast
24,FGFR2,breast
25,MMP2,breast
26,TOP2A,breast
27,F2,breast
28,CDK6,breast
29,AKT1,breast
30,F3,breast
31,MMP9,breast
32,RSF1,breast
33,C5,breast
34,AGR2,breast
35,CA2,breast
36,CDK4,breast
37,BARD1,breast
38,AR,breast
39,EGFR,breast
40,ATM,breast
41,CHEK2,breast
42,VEGFA,breast
43,PPP2R2A,breast
44,ERBB3,breast
45,CCR5,breast
46,CHEK1,breast
47,FGFR3,breast
48,TACSTD2,breast
49,ERBB4,breast
50,MAP2K1,breast
51,CDK12,breast
52,RAD54L,breast
53,ALK,breast
54,BCL2,breast
55,CD274,breast
56,NF1,breast
57,RAD51B,breast
58,ROS1,breast
59,FANCL,breast
60,MTOR,breast
61,RET,breast
62,WT1,breast
63,RAD51D,breast
64,PDGFRB,breast
65,NT5E,breast
66,KRAS,breast
67,RAD51C,breast
68,BRIP1,breast
69,PALB2,breast
70,MET,breast
71,PROM1,hepatocellular_carcinoma
72,ROM1,hepatocellular_carcinoma
73,KRAS,hepatocellular_carcinoma
74,FGF19,hepatocellular_carcinoma
75,BRCA1,hepatocellular_carcinoma
76,ERBB2,hepatocellular_carcinoma
77,AFP,hepatocellular_carcinoma
78,TERT,hepatocellular_carcinoma
79,EGFR,hepatocellular_carcinoma
80,ERBB3,hepatocellular_carcinoma
81,ERBB4,hepatocellular_carcinoma
82,FGFR4,hepatocellular_carcinoma
83,ALK,hepatocellular_carcinoma
84,TP53,hepatocellular_carcinoma
85,CD274,hepatocellular_carcinoma
86,NOTCH1,hepatocellular_carcinoma
87,KIT,hepatocellular_carcinoma
88,JAK2,hepatocellular_carcinoma
89,MET,hepatocellular_carcinoma
90,AKT2,lung
91,C2,lung
92,ERBB2,lung
93,AR,lung
94,RB1,lung
95,SMARCA4,lung
96,STK11,lung
97,EGFR,lung
98,RCC1,lung
99,POLD1,lung
100,ERCC1,lung
101,GNAS,lung
102,BIRC5,lung
103,BCL2L11,lung
104,AURKA,lung
105,CR2,lung
106,RCC2,lung
107,FGFR1,lung
108,TYMS,lung
109,ETS2,lung
110,DDR2,lung
111,PIK3CA,lung
112,CD4,lung
113,ABCB1,lung
114,ALK,lung
115,NFE2L2,lung
116,PDCD4,lung
117,ERCC2,lung
118,TP53,lung
119,CD274,lung
120,RET,lung
121,BRAF,lung
122,RICTOR,lung
123,ROS1,lung
124,NTRK1,lung
125,WEE1,lung
126,AREG,lung
127,XRCC1,lung
128,KRAS,lung
129,ARAF,lung
130,CA4,lung
131,NRG1,lung
132,RRM1,lung
133,HAVCR2,lung
134,MET,lung
135,C5,lung
136,CDK4,lung
137,BRCA1,lung
138,CCND1,lung
139,PDGFRA,lung
140,AXL,lung
141,TERT,lung
142,BCL2L1,lung
143,CCND3,lung
144,FLT1,lung
145,TSC1,lung
146,HRAS,lung
147,VEGFA,lung
148,POU2F3,lung
149,ATM,lung
150,ERBB3,lung
151,RECQL5,lung
152,RAD51,lung
153,RAD52,lung
154,FGFR3,lung
155,CDKN2A,lung
156,MAP2K1,lung
157,FGF1,lung
158,RAD54L,lung
159,RAD51B,lung
160,FGFR2,lung
161,RAD51D,lung
162,NTRK3,lung
163,MTOR,lung
164,PTEN,lung
165,NF1,lung
166,NTRK2,lung
167,BCL2,lung
168,WT1,lung
169,CBL,lung
170,BAX,lung
171,AKT1,lung
172,CCND2,lung
173,CDKN1A,lung
174,NBN,lung
175,PDGFRB,lung
176,RECQL,lung
177,RAD50,lung
178,MRE11,lung
179,KIT,lung
180,RAD51C,lung
181,NRAS,lung
182,SMO,lung
183,WRN,lung
184,JAK2,lung
185,RPA1,lung
186,FLT4,lung
187,BLM,lung
188,CSF1R,lung
189,FLT3,lung
190,RECQL4,lung
191,KDR,lung
192,SLFN11,lung
193,KEAP1,lung
194,NF2,lung
195,PIK3CB,lung
196,HRAS,large_intestine
197,ERBB2,large_intestine
198,HSPH1,large_intestine
199,AR,large_intestine
200,VEGFA,large_intestine
201,MTHFR,large_intestine
202,GSTP1,large_intestine
203,FOS,large_intestine
204,EGFR,large_intestine
205,FBXW7,large_intestine
206,GNAS,large_intestine
207,ERBB3,large_intestine
208,TYMS,large_intestine
209,PIK3CA,large_intestine
210,DKK1,large_intestine
211,ALK,large_intestine
212,TP53,large_intestine
213,PTEN,large_intestine
214,RET,large_intestine
215,BRAF,large_intestine
216,NTRK1,large_intestine
217,HLA-C,large_intestine
218,CDKN1A,large_intestine
219,AREG,large_intestine
220,SMAD4,large_intestine
221,JUN,large_intestine
222,KRAS,large_intestine
223,NT5E,large_intestine
224,ARAF,large_intestine
225,ALCAM,large_intestine
226,KIT,large_intestine
227,NRAS,large_intestine
228,EREG,large_intestine
229,PPP1R15A,large_intestine
